,Tag,Name,Keyword,VR,VM,Unnamed: 5
0,"(0002,0000)",File Meta Information Group Length,FileMetaInformationGroupLength,UL,1,
1,"(0002,0001)",File Meta Information Version,FileMetaInformationVersion,OB,1,
2,"(0002,0002)",Media Storage SOP Class UID,MediaStorageSOPClassUID,UI,1,
3,"(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,1,
4,"(0002,0010)",Transfer Syntax UID,TransferSyntaxUID,UI,1,
5,"(0002,0012)",Implementation Class UID,ImplementationClassUID,UI,1,
6,"(0002,0013)",Implementation Version Name,ImplementationVersionName,SH,1,
7,"(0002,0016)",Source Application Entity Title,SourceApplicationEntityTitle,AE,1,
8,"(0002,0017)",Sending Application Entity Title,SendingApplicationEntityTitle,AE,1,
9,"(0002,0018)",Receiving Application Entity Title,ReceivingApplicationEntityTitle,AE,1,
10,"(0002,0026)",Source Presentation Address,SourcePresentationAddress,UR,1,
11,"(0002,0027)",Sending Presentation Address,SendingPresentationAddress,UR,1,
12,"(0002,0028)",Receiving Presentation Address,ReceivingPresentationAddress,UR,1,
13,"(0002,0031)",RTV Meta Information Version,RTVMetaInformationVersion,OB,1,
14,"(0002,0032)",RTV Communication SOP Class UID,RTVCommunicationSOPClassUID,UI,1,
15,"(0002,0033)",RTV Communication SOP Instance UID,RTVCommunicationSOPInstanceUID,UI,1,
16,"(0002,0035)",RTV Source Identifier,RTVSourceIdentifier,OB,1,
17,"(0002,0036)",RTV Flow Identifier,RTVFlowIdentifier,OB,1,
18,"(0002,0037)",RTV Flow RTP Sampling Rate,RTVFlowRTPSamplingRate,UL,1,
19,"(0002,0038)",RTV Flow Actual Frame Duration,RTVFlowActualFrameDuration,FD,1,
20,"(0002,0100)",Private Information Creator UID,PrivateInformationCreatorUID,UI,1,
21,"(0002,0102)",Private Information,PrivateInformation,OB,1,
